Expected, CoveredWith, Similar
G(!req1 -> !gnt1), G(gnt1 -> req1), None 
G(!req2 -> !gnt2), G(gnt2 -> req2), None 
G((req2 && !req1) -> gnt2), None , G((gnt1 -> Xgnt1 U gnt1))
G((req2 && !req1) -> gnt2), None , G(Xgnt1 -> Fgnt1)
G((req2 && !req1) -> gnt2), None , G((gnt1 -> gnt2 U gnt1))
G((req2 && !req1) -> gnt2), None , G((gnt1 -> !gnt1 U gnt1))
G((req2 && !req1) -> gnt2), None , G((gnt1 -> rst U gnt1))
G((req2 && !req1) -> gnt2), None , G((req1 U (req1 | !req1)))
G((req2 && !req1) -> gnt2), None , G((gnt1 -> req2 U gnt1))
G((req2 && !req1) -> gnt2), None , G((gnt1 U (gnt1 | !gnt1)))
G((req2 && !req1) -> gnt2), None , G((req2 | !req2))
G((req2 && !req1) -> gnt2), None , G(req2 -> Freq2)
G((req2 && !req1) -> gnt2), None , G((gnt2 | !gnt2))
G((req2 && !req1) -> gnt2), None , G((rst | !rst))
G((req2 && !req1) -> gnt2), None , G((req1 | !req1))
G((req2 && !req1) -> gnt2), None , G(rst -> Frst)
G((req2 && !req1) -> gnt2), None , G(req1 -> Freq1)
G((req2 && !req1) -> gnt2), None , G((gnt1 | !gnt1))
G((req2 && !req1) -> gnt2), None , G((rst -> gnt2 U rst))
G((req2 && !req1) -> gnt2), None , G(gnt1 -> Fgnt1)
G((req2 && !req1) -> gnt2), None , G(gnt2 -> Fgnt2)
G((req2 && !req1) -> gnt2), None , G((gnt2 U (gnt2 | !gnt2)))
G((req2 && !req1) -> gnt2), None , G({gnt2 & req2} -> gnt2)
G((req1 && !req2) -> gnt1), None , G((gnt1 -> Xgnt1 U gnt1))
G((req1 && !req2) -> gnt1), None , G(Xgnt1 -> Fgnt1)
G((req1 && !req2) -> gnt1), None , G((gnt1 -> gnt2 U gnt1))
G((req1 && !req2) -> gnt1), None , G((gnt1 -> !gnt1 U gnt1))
G((req1 && !req2) -> gnt1), None , G((gnt1 -> rst U gnt1))
G((req1 && !req2) -> gnt1), None , G((req1 U (req1 | !req1)))
G((req1 && !req2) -> gnt1), None , G((gnt1 -> req2 U gnt1))
G((req1 && !req2) -> gnt1), None , G((gnt1 U (gnt1 | !gnt1)))
G((req1 && !req2) -> gnt1), None , G((req2 | !req2))
G((req1 && !req2) -> gnt1), None , G(req2 -> Freq2)
G((req1 && !req2) -> gnt1), None , G((gnt2 | !gnt2))
G((req1 && !req2) -> gnt1), None , G((rst | !rst))
G((req1 && !req2) -> gnt1), None , G((req1 | !req1))
G((req1 && !req2) -> gnt1), None , G(rst -> Frst)
G((req1 && !req2) -> gnt1), None , G(req1 -> Freq1)
G((req1 && !req2) -> gnt1), None , G((gnt1 | !gnt1))
G((req1 && !req2) -> gnt1), None , G((rst -> gnt2 U rst))
G((req1 && !req2) -> gnt1), None , G(gnt1 -> Fgnt1)
G((req1 && !req2) -> gnt1), None , G(gnt2 -> Fgnt2)
G((req1 && !req2) -> gnt1), None , G((gnt2 U (gnt2 | !gnt2)))
G((req1 && !req2) -> gnt1), None , G({gnt2 & req2} -> gnt2)
